Código,Lote,Cantidad
147434,0,10
147434021,0,80
638650707020,0,1
1412183,0,7
146933907,33MWYM,7
011990R,0,123
1942169003,0,90
1306169003,0,50
01635R,0,29
17892454020,0,20
13610115009,0,2
13612711,0,1
292109072,0,52
294098003,0,7
60613R,0,90
60613,0,14
16104R105,0,16
16104R,0,19
8913014016,0,171
128245213,0,4
60410119002,0,8
1361495002,0,1
1361495,0,1
521637,0,1
533010159002,0,12
61110159,0,1
61110159029,0,19
28112R,0,22
61817858075,0,1
63210171075,0,1
63210172,0,2
63210172020,0,20
63220018,0,42
63220018020,0,20
63220020075,0,12
63210177075,0,1
63210177,0,2
13611R,0,33
1203504R,0,18
239120R,0,23
012579R,0,211
092579R,0,15
012579087,0,162
135922251,0,3
3074952297,0,20
365813804003,0,20
7958332075,0,6
7938678075,0,2
7954212009,0,236
7958440009,0,214